id_llar,pes_llar,membres_llar,tipus_llar,unitats_consum,renda_total,renda_pobresa,risc_pobresa,carencia_material,regim_tinenca,temperatura_adequada,despeses_habitatge,quota_hipotecaria,retards_hipoteca_lloguer,retards_factures,bo_social,afrontar_imprevistos,arribar_final_mes,any_construccio,millores_energetiques,rao_no_millora,no_temperatura_adequada,te_retards,vulnerabilitat_basica
18113,6,3,11.0,2.0,90073.7,90073.7,No,No,Propietat sense hipoteca,Sí,445.31,,,No,No,Sí,Amb facilitat,3.0,5.0,,0.0,0,0
18114,6,2,10.0,1.5,65109.3,65109.3,No,No,Propietat amb hipoteca,Sí,727.13,550.0,No,No,No,Sí,Amb certa facilitat,4.0,1.0,,0.0,0,0
18115,5,3,9.0,2.0,27772.69,27772.69,No,No,Propietat sense hipoteca,No,345.45,,,No,Sí,Sí,Amb dificultat,4.0,4.0,2.0,1.0,0,1
18116,4,2,7.0,1.5,20036.17,20036.17,No,No,Propietat sense hipoteca,Sí,298.6,,,No,No,No,Amb certa dificultat,4.0,4.0,2.0,0.0,0,0
18117,4,2,7.0,1.5,45302.2,45302.2,No,No,Propietat sense hipoteca,Sí,324.04,,,No,No,Sí,Amb certa facilitat,4.0,4.0,2.0,0.0,0,0
18118,4,1,6.0,1.0,19373.7,19373.7,No,No,Propietat sense hipoteca,Sí,136.99,,,No,No,Sí,Amb facilitat,3.0,4.0,3.0,0.0,0,0
18119,3,1,2.0,1.0,15283.6,15283.6,No,No,Propietat sense hipoteca,No,275.72,,,No,No,Sí,Amb certa dificultat,4.0,4.0,2.0,1.0,0,1
18121,5,3,10.0,1.8,25772.7,25772.7,No,No,Lloguer a preu de mercat,Sí,906.16,,No,No,No,No,Amb dificultat,3.0,4.0,,0.0,0,0
18122,5,2,7.0,1.5,2517.9,2517.9,Sí,No,Propietat sense hipoteca,Sí,210.56,,,No,No,Sí,Amb facilitat,3.0,5.0,,0.0,0,1
18124,3,1,2.0,1.0,14136.1,14136.1,No,No,Propietat sense hipoteca,Sí,210.12,,,No,No,Sí,Amb certa facilitat,6.0,5.0,,0.0,0,0
18125,4,2,7.0,1.5,19647.36,19647.36,No,No,Propietat sense hipoteca,Sí,271.77,,,No,No,Sí,Amb certa facilitat,3.0,1.0,,0.0,0,0
18126,5,4,14.0,2.3,30392.2,30392.2,No,No,Propietat amb hipoteca,Sí,365.93,500.0,No,No,No,No,Amb certa facilitat,3.0,5.0,,0.0,0,0
18128,5,2,8.0,1.5,23270.53,23270.53,No,Sí,Propietat amb hipoteca,No,561.76,,No,No,No,No,Amb molta dificultat,3.0,1.0,,1.0,0,1
18129,5,2,8.0,1.5,42449.0,42449.0,No,No,Propietat sense hipoteca,Sí,109.29,,,No,No,Sí,Amb molta facilitat,6.0,5.0,,0.0,0,0
18130,5,1,6.0,1.0,13820.8,13820.8,No,No,Propietat sense hipoteca,Sí,214.27,,,No,No,No,Amb certa facilitat,4.0,5.0,,0.0,0,0
18132,4,4,9.0,2.5,60356.1,60356.1,No,No,Propietat sense hipoteca,Sí,344.85,,,No,No,Sí,Amb certa facilitat,5.0,4.0,2.0,0.0,0,0
18133,6,2,8.0,1.5,54768.1,54768.1,No,No,Propietat amb hipoteca,Sí,255.68,152.0,No,No,No,Sí,Amb facilitat,5.0,4.0,5.0,0.0,0,0
